Score,Tokens,Count,Source Code,
12.15046041,6,26,( ) { @ Override public,
11.52746351,6,22,( ) { @ Override public,
11.27988256,5,29,( ) ; } },
10.64385619,4,40,( ) ; },
10.64385619,4,40,) ; } },
10.23795689,3,88,) ; },
9.991256099,3,79,( ) ;,
9.965784285,8,10,; import org . fife . ui .,
9.813781191,4,30,) ; } },
9.714683738,3,70,) ; },
9.509775004,8,9,; import java . awt . event .,
9.169925001,4,24,( ) ; },
8.990581455,3,51,( ) {,
8.942501008,6,11,; import java . awt .,
8.918863237,4,22,@ Override public Object,
8.918863237,4,22,; import java .,
8.491519023,3,41,( ) ;,
8.174925683,4,17,) ; if (,
8.129721237,3,35,; } },
8.063437827,3,34,@ Override public,
8,4,16,} @ Override public,
7.924812504,2,243,) ;,
7.813781191,4,15,; import org .,
7.777237589,3,30,@ Override public,
7.699717706,3,29,) ) ;,
7.699717706,3,29,( ) {,
7.614709844,4,14,( ) ) ;,
7.515699838,2,183,( ),
7.400879436,4,13,) ; if (,
7.400879436,4,13,) { if (,
7.36033792,3,25,; if (,
7.36033792,5,9,== null ) { return,
7.348728154,2,163,) ;,
7.266993631,3,24,; } },
7.2569072,6,7,) ; } @ Override public,
7.238404739,2,151,( ),
7.169925001,4,12,== null ) {,
7.169925001,4,12,@ Override public void,
7.169925001,4,12,( true ) ;,
7.169925001,4,12,) ; } return,
7.06803189,3,22,@ Override public,
7.06803189,3,22,". class """,
6.918863237,4,11,) { if (,
6.857980995,2,116,) {,
6.857980995,2,116,( ),
6.732805815,3,19,; if (,
6.732805815,3,19,) { return,
6.64385619,4,10,null ) { return,
6.64385619,4,10,null ) { return,
6.64385619,4,10,== null ) {,
6.64385619,4,10,( ) ) ;,
6.64385619,4,10,) ) ; },
6.64385619,4,10,; import java .,
6.64385619,4,10,) ; } return,
6.62935662,2,99,; },
6.62935662,2,99,) {,
6.491853096,2,90,; },
6.192275088,3,15,; } @,
6.034514778,3,14,) ) {,
6.034514778,3,14,null ) {,
6.034514778,3,14,) ) ;,
6.002097055,6,5,; } @ Override public void,
6.002097055,5,6,( ) ) ; },
6,4,8,return null ; },
5.865058189,3,13,; } return,
5.614709844,4,7,) ; } else,
5.523561956,2,46,. class,
5.491853096,2,45,; import,
5.491853096,2,45,if (,
5.483069389,3,11,false ) ;,
5.392317423,2,42,) ),
5.391350078,5,5,( ) ) ; },
5.391350078,5,5,e ) { LOG .,
5.391350078,5,5,) ; } } private,
5.391350078,5,5,) { return ; },
5.321928095,2,40,if (,
5.321928095,2,40,{ return,
5.321928095,2,40,} },
5.26513146,3,10,. add (,
5.26513146,3,10,) ) {,
5.247927513,2,38,) ),
5.169925001,4,6,; } public void,
5.169925001,4,6,== null ) {,
5.169925001,6,4,( ) ) ; if (,
5.087462841,2,34,; import,
5.024212257,3,9,; private final,
5.024212257,3,9,. class ),
5.024212257,3,9,null ) {,
5.024212257,3,9,. class ),
5.024212257,3,9,} if (,
4.95419631,2,31,} },
4.754887502,3,8,; } public,
